dt_8601,speed,count
2014-11-26T00:00:00,55,29
2014-11-26T00:05:00,58,19
2014-11-26T00:10:00,57,21
2014-11-26T00:15:00,56,5
2014-11-26T00:20:00,59,31
2014-11-26T00:25:00,61,16
2014-11-26T00:30:00,58,19
2014-11-26T00:35:00,60,14
2014-11-26T00:40:00,57,23
2014-11-26T00:45:00,54,21
2014-11-26T00:50:00,56,14
2014-11-26T00:55:00,56,15
2014-11-26T01:00:00,53,28
2014-11-26T01:05:00,56,28
2014-11-26T01:10:00,55,31
2014-11-26T01:15:00,56,26
2014-11-26T01:20:00,55,20
2014-11-26T01:25:00,59,16
2014-11-26T01:30:00,54,9
2014-11-26T01:35:00,59,27
2014-11-26T01:40:00,57,8
2014-11-26T01:45:00,55,27
2014-11-26T01:50:00,57,15
2014-11-26T01:55:00,59,15
2014-11-26T02:00:00,57,15
2014-11-26T02:05:00,59,12
2014-11-26T02:10:00,57,12
2014-11-26T02:15:00,56,13
2014-11-26T02:20:00,58,18
2014-11-26T02:25:00,55,22
2014-11-26T02:30:00,60,9
2014-11-26T02:35:00,64,9
2014-11-26T02:40:00,58,8
2014-11-26T02:45:00,55,19
2014-11-26T02:50:00,57,13
2014-11-26T02:55:00,57,17
2014-11-26T03:00:00,61,10
2014-11-26T03:05:00,52,15
2014-11-26T03:10:00,57,8
2014-11-26T03:15:00,56,11
2014-11-26T03:20:00,55,11
2014-11-26T03:25:00,57,13
2014-11-26T03:30:00,56,15
2014-11-26T03:35:00,57,11
2014-11-26T03:40:00,61,20
2014-11-26T03:45:00,54,22
2014-11-26T03:50:00,57,10
2014-11-26T03:55:00,55,24
2014-11-26T04:00:00,60,17
2014-11-26T04:05:00,58,28
2014-11-26T04:10:00,56,25
2014-11-26T04:15:00,54,24
2014-11-26T04:20:00,58,10
2014-11-26T04:25:00,58,19
2014-11-26T04:30:00,59,15
2014-11-26T04:35:00,62,14
2014-11-26T04:40:00,60,18
2014-11-26T04:45:00,64,19
2014-11-26T04:50:00,60,18
2014-11-26T04:55:00,61,12
2014-11-26T05:00:00,54,31
2014-11-26T05:05:00,55,19
2014-11-26T05:10:00,58,30
2014-11-26T05:15:00,58,27
2014-11-26T05:20:00,56,32
2014-11-26T05:25:00,57,38
2014-11-26T05:30:00,54,39
2014-11-26T05:35:00,56,33
2014-11-26T05:40:00,57,25
2014-11-26T05:45:00,56,22
2014-11-26T05:50:00,54,58
2014-11-26T05:55:00,61,41
2014-11-26T06:00:00,58,23
2014-11-26T06:05:00,56,50
2014-11-26T06:10:00,55,48
2014-11-26T06:15:00,59,38
2014-11-26T06:20:00,57,40
2014-11-26T06:25:00,56,58
2014-11-26T06:30:00,57,33
2014-11-26T06:35:00,55,58
2014-11-26T06:40:00,56,56
2014-11-26T06:45:00,57,40
2014-11-26T06:50:00,55,51
2014-11-26T06:55:00,59,19
2014-11-26T07:00:00,57,81
2014-11-26T07:05:00,56,44
2014-11-26T07:10:00,57,34
2014-11-26T07:15:00,55,52
2014-11-26T07:20:00,56,49
2014-11-26T07:25:00,60,26
2014-11-26T07:30:00,58,60
2014-11-26T07:35:00,55,58
2014-11-26T07:40:00,56,56
2014-11-26T07:45:00,57,48
2014-11-26T07:50:00,55,62
2014-11-26T07:55:00,56,54
2014-11-26T08:00:00,54,67
2014-11-26T08:05:00,56,63
2014-11-26T08:10:00,52,33
2014-11-26T08:15:00,56,87
2014-11-26T08:20:00,58,44
2014-11-26T08:25:00,58,57
2014-11-26T08:30:00,55,50
2014-11-26T08:35:00,54,75
2014-11-26T08:40:00,54,66
2014-11-26T08:45:00,55,58
2014-11-26T08:50:00,59,53
2014-11-26T08:55:00,54,79
2014-11-26T09:00:00,59,51
2014-11-26T09:05:00,52,53
2014-11-26T09:10:00,58,60
2014-11-26T09:15:00,55,68
2014-11-26T09:20:00,56,65
2014-11-26T09:25:00,58,70
2014-11-26T09:30:00,56,46
2014-11-26T09:35:00,54,72
2014-11-26T09:40:00,56,65
2014-11-26T09:45:00,56,74
2014-11-26T09:50:00,54,65
2014-11-26T09:55:00,57,70
2014-11-26T10:00:00,57,57
2014-11-26T10:05:00,58,70
2014-11-26T10:10:00,57,54
2014-11-26T10:15:00,55,53
2014-11-26T10:20:00,54,64
2014-11-26T10:25:00,55,82
2014-11-26T10:30:00,51,85
2014-11-26T10:35:00,54,69
2014-11-26T10:40:00,56,68
2014-11-26T10:45:00,55,73
2014-11-26T10:50:00,55,71
2014-11-26T10:55:00,52,49
2014-11-26T11:00:00,56,96
2014-11-26T11:05:00,57,36
2014-11-26T11:10:00,56,87
2014-11-26T11:15:00,56,75
2014-11-26T11:20:00,55,69
2014-11-26T11:25:00,58,59
2014-11-26T11:30:00,55,81
2014-11-26T11:35:00,58,52
2014-11-26T11:40:00,55,56
2014-11-26T11:45:00,54,69
2014-11-26T11:50:00,54,64
2014-11-26T11:55:00,57,63
2014-11-26T12:00:00,54,82
2014-11-26T12:05:00,55,53
2014-11-26T12:10:00,56,61
2014-11-26T12:15:00,56,68
2014-11-26T12:20:00,53,72
2014-11-26T12:25:00,55,66
2014-11-26T12:30:00,57,61
2014-11-26T12:35:00,54,78
2014-11-26T12:40:00,56,60
2014-11-26T12:45:00,55,83
2014-11-26T12:50:00,55,60
2014-11-26T12:55:00,57,62
2014-11-26T13:00:00,57,65
2014-11-26T13:05:00,56,59
2014-11-26T13:10:00,58,61
2014-11-26T13:15:00,57,61
2014-11-26T13:20:00,57,53
2014-11-26T13:25:00,55,72
2014-11-26T13:30:00,57,43
2014-11-26T13:35:00,55,70
2014-11-26T13:40:00,57,64
2014-11-26T13:45:00,57,71
2014-11-26T13:50:00,56,67
2014-11-26T13:55:00,54,85
2014-11-26T14:00:00,55,59
2014-11-26T14:05:00,52,72
2014-11-26T14:10:00,56,62
2014-11-26T14:15:00,54,69
2014-11-26T14:20:00,54,58
2014-11-26T14:25:00,56,92
2014-11-26T14:30:00,58,51
2014-11-26T14:35:00,54,86
2014-11-26T14:40:00,48,74
2014-11-26T14:45:00,52,59
2014-11-26T14:50:00,50,80
2014-11-26T14:55:00,53,55
2014-11-26T15:00:00,54,74
2014-11-26T15:05:00,52,77
2014-11-26T15:10:00,56,46
2014-11-26T15:15:00,57,72
2014-11-26T15:20:00,54,55
2014-11-26T15:25:00,53,59
2014-11-26T15:30:00,51,55
2014-11-26T15:35:00,51,61
2014-11-26T15:40:00,41,54
2014-11-26T15:45:00,35,55
2014-11-26T15:50:00,45,51
2014-11-26T15:55:00,46,59
2014-11-26T16:00:00,43,34
2014-11-26T16:05:00,42,66
2014-11-26T16:10:00,36,57
2014-11-26T16:15:00,29,52
2014-11-26T16:20:00,39,46
2014-11-26T16:25:00,38,83
